Site_plot	Pit_code	Year	Site	Plot	Treatment	Pitfall	Ara_invdiv	Bla_invdiv	Col_invdiv	Form_invdiv	Ort_invdiv	Other_invdiv	Yr	Replicate
CR_72	CR_72_Control_2019_SW	2019	CR	72	Control	SW	4	0	1.8	5.8235294117647	1.67010309278351	2.66666666666667	3	CR_1
CR_73	CR_73_Control_2016_NE	2016	CR	73	Control	NE	4.09090909090909	0	4.14942528735632	3.80594059405941	1.8	1.85456369107322	0	CR_2
CR_73	CR_73_Control_2016_NW	2016	CR	73	Control	NW	3.6	0	2.78260869565217	1.35812497163861	3.6	1	0	CR_2
CR_73	CR_73_Control_2016_SE	2016	CR	73	Control	SE	1.97560975609756	1	2.57142857142857	3.10689170182841	1	2.45454545454545	0	CR_2
CR_73	CR_73_Control_2016_SW	2016	CR	73	Control	SW	5.48780487804878	0	3.52173913043478	1.68454469507101	1	1	0	CR_2
CR_73	CR_73_Control_2019_NE	2019	CR	73	Control	NE	4	0	5.55384615384615	2.20450885668277	1	1	3	CR_2
CR_73	CR_73_Control_2019_NW	2019	CR	73	Control	NW	2.66666666666667	0	3.45714285714286	2.90500863557858	2	2	3	CR_2
CR_73	CR_73_Control_2019_SE	2019	CR	73	Control	SE	6.4	0	6.56363636363636	2.60649819494585	1.24615384615385	1	3	CR_2
CR_73	CR_73_Control_2019_SW	2019	CR	73	Control	SW	2.66666666666667	0	1	2.10893174488251	1	3.57142857142857	3	CR_2
CR_74	CR_74_Rock_2016_NE	2016	CR	74	Rock	NE	5.45161290322581	0	3.73831775700935	2.43190661478599	1	2.59029649595687	0	CR_2
CR_74	CR_74_Rock_2016_NW	2016	CR	74	Rock	NW	6.23076923076923	1	1.8	3.05660377358491	1.6	0	0	CR_2
CR_74	CR_74_Rock_2016_SE	2016	CR	74	Rock	SE	6	0	7.41025641025641	1.62530755711775	1	2.38001573564123	0	CR_2
CR_74	CR_74_Rock_2016_SW	2016	CR	74	Rock	SW	6.4	1	1.85519591141397	2.37368894216362	1	1.60491299897646	0	CR_2
CR_74	CR_74_Rock_2019_NE	2019	CR	74	Rock	NE	3.66666666666667	1	4.10494752623688	1.60138528138528	1.38461538461538	2	3	CR_2
CR_74	CR_74_Rock_2019_NW	2019	CR	74	Rock	NW	1	1	4.96961861667744	5.10693970420933	1.28	2	3	CR_2
CR_74	CR_74_Rock_2019_SE	2019	CR	74	Rock	SE	5.82758620689655	1.8	4.95046854082999	6.06212424849699	1.51006711409396	0	3	CR_2
CR_74	CR_74_Rock_2019_SW	2019	CR	74	Rock	SW	5	0	3	2.21749049429658	1.8	1.24615384615385	3	CR_2
JE_3	JE_3_Rock_2016_NE	2016	JE	3	Rock	NE	1.47058823529412	0	3.74251497005988	4.22741072719387	0	2	0	JE_1
JE_3	JE_3_Rock_2016_NW	2016	JE	3	Rock	NW	4.5	1	2.26845637583893	8.70639032815199	1	2	0	JE_1
JE_3	JE_3_Rock_2016_SE	2016	JE	3	Rock	SE	4.74074074074074	1	5.12121212121212	1.52489550242434	1	0	0	JE_1
JE_3	JE_3_Rock_2016_SW	2016	JE	3	Rock	SW	4.08333333333333	1	3.18086225026288	2.24491869918699	0	2.66666666666667	0	JE_1
JE_3	JE_3_Rock_2019_NE	2019	JE	3	Rock	NE	6.25	1	8.5	2.74737409103151	1	1.22511485451761	3	JE_1
JE_3	JE_3_Rock_2019_NW	2019	JE	3	Rock	NW	3.76923076923077	0	2.07692307692308	2.44444444444444	0	0	3	JE_1
JE_3	JE_3_Rock_2019_SE	2019	JE	3	Rock	SE	4.76470588235294	1	4.96713615023474	3.01364256480218	1	1	3	JE_1
JE_3	JE_3_Rock_2019_SW	2019	JE	3	Rock	SW	2.2755905511811	0	6.08108108108108	5.53846153846154	0	1	3	JE_1
JE_4	JE_4_Control_2016_NE	2016	JE	4	Control	NE	1.6	0	4.55813953488372	5.99667774086379	0	2	0	JE_1
JE_4	JE_4_Control_2016_NW	2016	JE	4	Control	NW	3.125	0	3.35042735042735	9.28729281767956	1	1	0	JE_1
JE_4	JE_4_Control_2016_SE	2016	JE	4	Control	SE	4.54545454545454	1	5.24521072796935	2.01197542434656	0	1	0	JE_1
JE_4	JE_4_Control_2016_SW	2016	JE	4	Control	SW	6	0	2.66666666666667	4.57142857142857	0	1.8	0	JE_1
JE_4	JE_4_Control_2019_NE	2019	JE	4	Control	NE	3	0	2.19289340101523	3.11866501854141	1	1	3	JE_1
JE_4	JE_4_Control_2019_NW	2019	JE	4	Control	NW	2.7	0	4.16666666666667	1.2665401444462	1	1	3	JE_1
JE_4	JE_4_Control_2019_SE	2019	JE	4	Control	SE	6.85714285714286	0	5.4	3.10091743119266	1	1	3	JE_1
JE_4	JE_4_Control_2019_SW	2019	JE	4	Control	SW	10	0	4.57142857142857	1.76330126133447	1	2	3	JE_1
JE_7	JE_7_Control_2016_NE	2016	JE	7	Control	NE	5	1	3.28571428571429	6.10063254744106	1	1	0	JE_2
JE_7	JE_7_Control_2016_NW	2016	JE	7	Control	NW	5.44444444444444	0	2.86725663716814	6.16604616530156	0	1	0	JE_2
JE_7	JE_7_Control_2016_SE	2016	JE	7	Control	SE	3	0	3	3.32704402515723	0	0	0	JE_2
JE_7	JE_7_Control_2016_SW	2016	JE	7	Control	SW	4	1	3.52173913043478	1.79115479115479	0	0	0	JE_2
JE_7	JE_7_Control_2019_NE	2019	JE	7	Control	NE	2.16500994035785	1	6.45409429280397	1.77897556930535	1	1.72413793103448	3	JE_2
JE_7	JE_7_Control_2019_NW	2019	JE	7	Control	NW	2.6094674556213	0	4.45454545454546	4	1.8	1	3	JE_2
JE_7	JE_7_Control_2019_SE	2019	JE	7	Control	SE	4.76470588235294	1	4.42911877394636	3.50913423351867	1	2	3	JE_2
JE_7	JE_7_Control_2019_SW	2019	JE	7	Control	SW	3.24719101123596	0	4.56756756756757	5.92105263157895	1	2.66666666666667	3	JE_2
JE_8	JE_8_Rock_2016_NE	2016	JE	8	Rock	NE	2.79310344827586	0	4.10077519379845	3.98868991517436	2	0	0	JE_2
JE_8	JE_8_Rock_2016_NW	2016	JE	8	Rock	NW	3.57142857142857	1	3.19269102990033	9.92274678111588	1	2	0	JE_2
JE_8	JE_8_Rock_2016_SE	2016	JE	8	Rock	SE	7.14285714285714	2	4.94156706507304	3.01366193410126	0	1	0	JE_2
JE_8	JE_8_Rock_2016_SW	2016	JE	8	Rock	SW	2	0	1.92307692307692	6.18811881188119	0	2	0	JE_2
JE_8	JE_8_Rock_2019_NE	2019	JE	8	Rock	NE	5	0	3.81436077057793	2.89240030097818	1	1.13274336283186	3	JE_2
JE_8	JE_8_Rock_2019_NW	2019	JE	8	Rock	NW	4.07042253521127	0	1e-06	6.36842105263158	1	0	3	JE_2
JE_8	JE_8_Rock_2019_SE	2019	JE	8	Rock	SE	3.57142857142857	0	3.89408099688473	1.87746741154562	1	2.66666666666667	3	JE_2
JE_8	JE_8_Rock_2019_SW	2019	JE	8	Rock	SW	3.66666666666667	0	2.05714285714286	4.28167281672817	0	2.57894736842105	3	JE_2
JW_13	JW_13_Control_2016_NE	2016	JW	13	Control	NE	3.57142857142857	0	3.10689170182841	1.65343915343915	2	3	0	JW_1
JW_13	JW_13_Control_2016_NW	2016	JW	13	Control	NW	2.28571428571429	0	4.17241379310345	1.21842250413679	1	1	0	JW_1
JW_13	JW_13_Control_2016_SE	2016	JW	13	Control	SE	3.57142857142857	0	5.44444444444444	1.45834793784321	1	1.6	0	JW_1
JW_13	JW_13_Control_2016_SW	2016	JW	13	Control	SW	4.16666666666667	0	3.78947368421053	1.47742708749501	0	1	0	JW_1
JW_13	JW_13_Control_2019_NE	2019	JW	13	Control	NE	5.33333333333333	1	8.00952380952381	4.72727272727273	1	0	3	JW_1
JW_13	JW_13_Control_2019_NW	2019	JW	13	Control	NW	5.08450704225352	0	4	3.94688922610015	1	1	3	JW_1
JW_13	JW_13_Control_2019_SE	2019	JW	13	Control	SE	2.48275862068965	0	8.25714285714286	3.002079002079	0	3	3	JW_1
JW_13	JW_13_Control_2019_SW	2019	JW	13	Control	SW	1	0	1.29292929292929	1.5136774636603	0	1	3	JW_1
JW_15	JW_15_Rock_2016_NE	2016	JW	15	Rock	NE	6	0	1.61006289308176	3.91935483870968	1	1.6	0	JW_1
JW_15	JW_15_Rock_2016_NW	2016	JW	15	Rock	NW	2.66666666666667	0	8.41558441558442	1.90339425587467	2	2.66666666666667	0	JW_1
JW_15	JW_15_Rock_2016_SE	2016	JW	15	Rock	SE	1.42222222222222	1	5.31496062992126	1.38826528111367	1	2.66666666666667	0	JW_1
JW_15	JW_15_Rock_2016_SW	2016	JW	15	Rock	SW	4.57142857142857	0	2.84810126582278	5.00869565217391	0	1	0	JW_1
JW_15	JW_15_Rock_2019_NE	2019	JW	15	Rock	NE	6.36842105263158	0	7.73684210526316	2.40369869192603	1	1	3	JW_1
JW_15	JW_15_Rock_2019_NW	2019	JW	15	Rock	NW	4	0	2.95121951219512	1.29909532303607	0	1	3	JW_1
JW_15	JW_15_Rock_2019_SE	2019	JW	15	Rock	SE	6	0	4.92700729927007	2.64184791236704	1	1	3	JW_1
JW_15	JW_15_Rock_2019_SW	2019	JW	15	Rock	SW	2.33333333333333	0	2.80582524271845	1.60451251041946	1	2.05084745762712	3	JW_1
JW_16	JW_16_Control_2016_NE	2016	JW	16	Control	NE	5.76190476190476	0	1.92307692307692	1.20829869246467	0	3	0	JW_2
JW_16	JW_16_Control_2016_NW	2016	JW	16	Control	NW	5.76190476190476	0	3.0625	1.1349213403253	0	0	0	JW_2
JW_16	JW_16_Control_2016_SE	2016	JW	16	Control	SE	7.25806451612903	0	3.76470588235294	1.56139130434783	0	1	0	JW_2
JW_16	JW_16_Control_2016_SW	2016	JW	16	Control	SW	4.54545454545454	1	3.52173913043478	1.70776961731736	0	1.8	0	JW_2
JW_16	JW_16_Control_2019_NE	2019	JW	16	Control	NE	3	0	6.54545454545455	1.20624421994077	0	0	3	JW_2
JW_16	JW_16_Control_2019_NW	2019	JW	16	Control	NW	8	1	6.69620253164557	2.95216400911162	1	1	3	JW_2
JW_16	JW_16_Control_2019_SE	2019	JW	16	Control	SE	5	2	4.62857142857143	1.80345047923323	1	4	3	JW_2
JW_16	JW_16_Control_2019_SW	2019	JW	16	Control	SW	3	0	1.87012987012987	1.74891875392301	1	1	3	JW_2
JW_25	JW_25_Rock_2016_NE	2016	JW	25	Rock	NE	4.16666666666667	0	3.85333333333333	2.79041474654378	2	4.5	0	JW_2
JW_25	JW_25_Rock_2016_NW	2016	JW	25	Rock	NW	4.5	0	3.04761904761905	1.49010144784793	0	0	0	JW_2
JW_25	JW_25_Rock_2016_SE	2016	JW	25	Rock	SE	5.76190476190476	1	6.08108108108108	1.06576866081686	1	2.66666666666667	0	JW_2
JW_25	JW_25_Rock_2016_SW	2016	JW	25	Rock	SW	4.54545454545454	0	2.57142857142857	1.23356135697334	0	1	0	JW_2
JW_25	JW_25_Rock_2019_NE	2019	JW	25	Rock	NE	3.2	0	6.76	2.7197269134028	1	1	3	JW_2
JW_25	JW_25_Rock_2019_NW	2019	JW	25	Rock	NW	2	0	4.05	1.14937626457445	0	1	3	JW_2
JW_25	JW_25_Rock_2019_SE	2019	JW	25	Rock	SE	4.45454545454546	0	6.57894736842105	3.63512490537472	1.8	1	3	JW_2
JW_25	JW_25_Rock_2019_SW	2019	JW	25	Rock	SW	1	1	2.6094674556213	1.34464363795365	1	1.51515151515151	3	JW_2
K_30	K_30_Control_2016_NE	2016	K	30	Control	NE	4	1.8	4.36472945891784	4.03781512605042	1	0	0	K_1
K_30	K_30_Control_2016_NW	2016	K	30	Control	NW	5.33333333333333	1.58823529411765	8.11228070175438	5.63084922010399	1	2	0	K_1
K_30	K_30_Control_2016_SE	2016	K	30	Control	SE	5.44444444444444	1	6.12605042016807	2.54879566982409	1.8	3	0	K_1
K_30	K_30_Control_2016_SW	2016	K	30	Control	SW	3.27027027027027	1	4.38903394255875	5	1	1	0	K_1
K_30	K_30_Control_2019_NE	2019	K	30	Control	NE	4.26315789473684	2	2.42141386410432	3.43801652892562	0	1.97560975609756	3	K_1
K_30	K_30_Control_2019_NW	2019	K	30	Control	NW	3.16901408450704	1	3.41379310344828	8.60213333333333	1.8	3	3	K_1
K_30	K_30_Control_2019_SE	2019	K	30	Control	SE	7.69230769230769	0	4.81666666666667	5.21769995267392	1	1	3	K_1
K_30	K_30_Control_2019_SW	2019	K	30	Control	SW	3.87878787878788	0	5.4	3.38453685428435	2	1	3	K_1
K_31	K_31_Rock_2016_NE	2016	K	31	Rock	NE	3.2	2.66666666666667	9.67364016736402	4.78286852589641	3	2	0	K_1
K_31	K_31_Rock_2016_NW	2016	K	31	Rock	NW	4.16666666666667	1	2	1.57151282807431	0	1	0	K_1
K_31	K_31_Rock_2016_SE	2016	K	31	Rock	SE	3.27027027027027	3	6.78461538461539	2.40635851183766	1.32432432432432	1.8	0	K_1
K_31	K_31_Rock_2016_SW	2016	K	31	Rock	SW	4.16666666666667	1	3.90322580645161	2.20985556499575	0	3	0	K_1
K_31	K_31_Rock_2019_NE	2019	K	31	Rock	NE	5.15789473684211	1.96	7.01754385964912	3.4305215260763	0	2	3	K_1
K_31	K_31_Rock_2019_NW	2019	K	31	Rock	NW	4	0	3	3.98578199052133	0	0	3	K_1
K_31	K_31_Rock_2019_SE	2019	K	31	Rock	SE	6.39130434782609	0	6.72093023255814	3.59312518467448	0	3.57142857142857	3	K_1
K_31	K_31_Rock_2019_SW	2019	K	31	Rock	SW	5	1	3.35042735042735	1.24400382915667	1	1	3	K_1
K_32	K_32_Control_2016_NE	2016	K	32	Control	NE	4.16666666666667	1.92307692307692	4.58689717925387	3.48537005163511	2	2.66666666666667	0	K_2
K_32	K_32_Control_2016_NW	2016	K	32	Control	NW	3.76923076923077	1	3	1.53955296404276	0	1	0	K_2
K_32	K_32_Control_2016_SE	2016	K	32	Control	SE	5	1	6.2	2.14652437265648	1	2	0	K_2
K_32	K_32_Control_2016_SW	2016	K	32	Control	SW	5.12121212121212	1	4.58730158730159	5.89570552147239	0	1	0	K_2
K_32	K_32_Control_2019_NE	2019	K	32	Control	NE	2.90909090909091	1.6	3.65853658536585	2.46442646753786	0	2	3	K_2
K_32	K_32_Control_2019_NW	2019	K	32	Control	NW	3.6	0	4.05	5.35942028985507	1.8	1	3	K_2
K_32	K_32_Control_2019_SE	2019	K	32	Control	SE	4.5	0	6.08108108108108	1.24097328876442	0	3	3	K_2
K_32	K_32_Control_2019_SW	2019	K	32	Control	SW	2	0	3.26666666666667	1.10197656113346	0	0	3	K_2
K_33	K_33_Rock_2016_NE	2016	K	33	Rock	NE	2.57894736842105	1	3.57142857142857	2.83018867924528	0	1	0	K_2
K_33	K_33_Rock_2016_NW	2016	K	33	Rock	NW	1	0	4.54545454545454	1.67536231884058	0	1	0	K_2
K_33	K_33_Rock_2016_SE	2016	K	33	Rock	SE	7.36363636363636	0	1	1.87817589576547	0	1	0	K_2
K_33	K_33_Rock_2016_SW	2016	K	33	Rock	SW	2.57894736842105	0	2.33333333333333	1.12989038265356	0	0	0	K_2
K_33	K_33_Rock_2019_NE	2019	K	33	Rock	NE	6	0	2.17391304347826	6.76733780760626	1	1	3	K_2
K_33	K_33_Rock_2019_NW	2019	K	33	Rock	NW	5.12121212121212	1	1.85185185185185	3.71775417298938	1	1.8	3	K_2
K_33	K_33_Rock_2019_SE	2019	K	33	Rock	SE	2	0	3.41333333333333	1.13444712692411	0	1	3	K_2
K_33	K_33_Rock_2019_SW	2019	K	33	Rock	SW	1	1	2.11764705882353	2.22559027507208	1	1	3	K_2
MUL_42	MUL_42_Rock_2016_NE	2016	MUL	42	Rock	NE	7.36363636363636	0	4.51977401129943	1.64762670957361	1	2.88235294117647	0	MUL_1
MUL_42	MUL_42_Rock_2016_NW	2016	MUL	42	Rock	NW	2	1	6.125	1.18851863386276	0	1	0	MUL_1
MUL_42	MUL_42_Rock_2016_SE	2016	MUL	42	Rock	SE	6.81818181818182	1	4.35943060498221	4.78109452736318	1	1	0	MUL_1
MUL_42	MUL_42_Rock_2016_SW	2016	MUL	42	Rock	SW	5	0	2.27272727272727	2.56	0	1	0	MUL_1
MUL_42	MUL_42_Rock_2019_NE	2019	MUL	42	Rock	NE	1.08636389344494	1	4.29923273657289	5.71428571428571	0	1.04996876951905	3	MUL_1
MUL_42	MUL_42_Rock_2019_NW	2019	MUL	42	Rock	NW	6.23076923076923	1	2.96491228070175	6.1191135734072	1	1	3	MUL_1
MUL_42	MUL_42_Rock_2019_SE	2019	MUL	42	Rock	SE	7.53846153846154	0	5.31496062992126	2.645	1	1	3	MUL_1
MUL_42	MUL_42_Rock_2019_SW	2019	MUL	42	Rock	SW	3	0	3.16129032258065	3.14224137931034	0	1	3	MUL_1
MUL_43	MUL_43_Control_2016_NE	2016	MUL	43	Control	NE	4.5	0	6.36423841059603	2.58083394294075	1	0	0	MUL_1
MUL_43	MUL_43_Control_2016_NW	2016	MUL	43	Control	NW	5	1.6	4.73484848484848	3.054698457223	1	2.57142857142857	0	MUL_1
MUL_43	MUL_43_Control_2016_SE	2016	MUL	43	Control	SE	8.33333333333333	1.8	3.9672131147541	6.18292682926829	1	2	0	MUL_1
MUL_43	MUL_43_Control_2016_SW	2016	MUL	43	Control	SW	2	0	2	1.19823469830705	0	0	0	MUL_1
MUL_43	MUL_43_Control_2019_NE	2019	MUL	43	Control	NE	4.57142857142857	1	3.56173913043478	2.74617878647522	1	1	3	MUL_1
MUL_43	MUL_43_Control_2019_NW	2019	MUL	43	Control	NW	4.5	2	2.31428571428571	6.80169971671388	1.8	2.66666666666667	3	MUL_1
MUL_43	MUL_43_Control_2019_SE	2019	MUL	43	Control	SE	6.4	0	2.6488188976378	4.4762833008447	0	1.30810810810811	3	MUL_1
MUL_43	MUL_43_Control_2019_SW	2019	MUL	43	Control	SW	5.40540540540541	1.47058823529412	5.37737961926092	5.5219846712384	1	1.10112359550562	3	MUL_1
MUL_46	MUL_46_Rock_2016_NE	2016	MUL	46	Rock	NE	3.2	1	3.7212389380531	2.84417858185001	1	1.8	0	MUL_2
MUL_46	MUL_46_Rock_2016_NW	2016	MUL	46	Rock	NW	1e-06	1	2.63503649635036	1.32758930174116	1	1	0	MUL_2
MUL_46	MUL_46_Rock_2016_SE	2016	MUL	46	Rock	SE	6.25	0	5.72108843537415	1.97576231430805	1	1	0	MUL_2
MUL_46	MUL_46_Rock_2016_SW	2016	MUL	46	Rock	SW	3	0	2.88142292490119	1.36010242719769	0	0	0	MUL_2
MUL_46	MUL_46_Rock_2019_NE	2019	MUL	46	Rock	NE	4.92307692307692	2.66666666666667	4.01161751563896	5.93579454253612	1	1.13525498891353	3	MUL_2
MUL_46	MUL_46_Rock_2019_NW	2019	MUL	46	Rock	NW	3.6	1	2.25333333333333	2.9027051602637	1	0	3	MUL_2
MUL_46	MUL_46_Rock_2019_SE	2019	MUL	46	Rock	SE	1.6	1	3.33333333333333	1.61740922784208	1	1	3	MUL_2
MUL_46	MUL_46_Rock_2019_SW	2019	MUL	46	Rock	SW	3.6	2	1.85185185185185	6.83905013192612	1	0	3	MUL_2
MUL_47	MUL_47_Control_2016_NE	2016	MUL	47	Control	NE	7	1	5.23255813953488	2.6283185840708	0	1	0	MUL_2
MUL_47	MUL_47_Control_2016_NW	2016	MUL	47	Control	NW	3.57142857142857	0	3.16129032258065	2.57201646090535	0	0	0	MUL_2
MUL_47	MUL_47_Control_2016_SE	2016	MUL	47	Control	SE	5.4	2	1.84905660377358	3.08752941176471	1	3	0	MUL_2
MUL_47	MUL_47_Control_2016_SW	2016	MUL	47	Control	SW	5.12121212121212	0	3.68181818181818	1.18969660558726	0	1	0	MUL_2
MUL_47	MUL_47_Control_2019_NE	2019	MUL	47	Control	NE	7.68085106382979	3	3.46972683751056	6.20183486238532	0	1.07202039515615	3	MUL_2
MUL_47	MUL_47_Control_2019_NW	2019	MUL	47	Control	NW	3	0	2.41509433962264	8.16666666666667	1	0	3	MUL_2
MUL_47	MUL_47_Control_2019_SE	2019	MUL	47	Control	SE	7.07843137254902	0	6.00961538461538	3.61194029850746	1	1	3	MUL_2
MUL_47	MUL_47_Control_2019_SW	2019	MUL	47	Control	SW	6	0	4.74074074074074	1.17662311379821	0	2	3	MUL_2
