Morphospecies,Size,Trophic level,Order
Blattidae 1,10.0,Omnivorous,Blattodea
Blattidae 2,5.0,Omnivorous,Blattodea
Blattidae 3,25.0,Omnivorous,Blattodea
Blattidae 4,5.0,Omnivorous,Blattodea
Blattidae 5,5.0,Omnivorous,Blattodea
Ectobiidae 1,5.0,Omnivorous,Blattodea
Ectobiidae 2,10.0,Omnivorous,Blattodea
Anthicidae 1,0.0,Herbivore,Coleoptera
Anthicidae 2,2.5,Herbivore,Coleoptera
Anthicidae 3,0.0,Herbivore,Coleoptera
Biphyllidae 1,2.5,Herbivore,Coleoptera
Byrrhidae 1,0.0,Herbivore,Coleoptera
Cantharidae 1,10.0,Herbivore,Coleoptera
Carabidae 1,5.0,Omnivore,Coleoptera
Carabidae 2,5.0,Omnivore,Coleoptera
Carabidae 3,10.0,Predator,Coleoptera
Carabidae 4,10.0,Herbivore,Coleoptera
Carabidae 5,2.5,Omnivore,Coleoptera
Carabidae 6,5.0,Omnivore,Coleoptera
Carabidae 7,5.0,Omnivore,Coleoptera
Carabidae 8,5.0,Omnivore,Coleoptera
Carabidae 9,20.0,Omnivore,Coleoptera
Cassidinae (Hispoid) 1,2.5,Herbivore,Coleoptera
Chrysomelidae 1,2.5,Herbivore,Coleoptera
Coccinellidae 1,0.0,Herbivore,Coleoptera
Corylophidae 1,0.0,Detritivore,Coleoptera
Corylophidae 2,0.0,Herbivore,Coleoptera
Corylophidae 3,0.0,Herbivore,Coleoptera
Corylophidae 4,0.0,Herbivore,Coleoptera
Curculionidae 01,5.0,Herbivore,Coleoptera
Curculionidae 02,5.0,Herbivore,Coleoptera
Curculionidae 03,2.5,Herbivore,Coleoptera
Curculionidae 04,5.0,Herbivore,Coleoptera
Curculionidae 05,2.5,Herbivore,Coleoptera
Curculionidae 06,2.5,Herbivore,Coleoptera
Curculionidae 07,15.0,Herbivore,Coleoptera
Curculionidae 08,5.0,Herbivore,Coleoptera
Curculionidae 09,2.5,Herbivore,Coleoptera
Curculionidae 10,0.0,Herbivore,Coleoptera
Curculionidae 11,2.5,Herbivore,Coleoptera
Elateridae 1,2.5,Herbivore,Coleoptera
Elateridae 2,5.0,Herbivore,Coleoptera
Endomychidae 1,0.0,Herbivore,Coleoptera
Larvae 1,0.0,Herbivore,Coleoptera
Larvae 2,2.5,Herbivore,Coleoptera
Larvae 3,0.0,Herbivore,Coleoptera
Larvae 4,5.0,Herbivore,Coleoptera
Larvae 5,5.0,Herbivore,Coleoptera
Larvae 6,5.0,Herbivore,Coleoptera
Larvae 7,10.0,Herbivore,Coleoptera
Larvae 8,10.0,Herbivore,Coleoptera
Latridiidae 1,0.0,Herbivore,Coleoptera
Scarabaeoidea 1,5.0,Herbivore,Coleoptera
Scarabaeoidea 2,5.0,Herbivore,Coleoptera
Scarabaeoidea 3,5.0,Herbivore,Coleoptera
Scarabaeoidea 4,5.0,Herbivore,Coleoptera
Scarabaeoidea 5,5.0,Herbivore,Coleoptera
Scarabaeoidea 6,2.5,Herbivore,Coleoptera
Scarabaeoidea 7,5.0,Herbivore,Coleoptera
Scirtidae 1,2.5,Herbivore,Coleoptera
Staphylinidae 1,2.5,Detritivore,Coleoptera
Staphylinidae 2,0.0,Detritivore,Coleoptera
Staphylinidae 3,0.0,Herbivore,Coleoptera
Staphylinidae 4,2.5,Detritivore,Coleoptera
Staphylinidae 5,10.0,Detritivore,Coleoptera
Staphylinidae 6,0.0,Omnivore,Coleoptera
Staphylinidae 7,0.0,Omnivore,Coleoptera
Staphylinidae 8,2.5,Omnivore,Coleoptera
Tenebrionidae 1,5.0,Herbivore,Coleoptera
Tenebrionidae 2,10.0,Herbivore,Coleoptera
Tenebrionidae 3,0.0,Herbivore,Coleoptera
Tenebrionidae 4,10.0,Herbivore,Coleoptera
Tenebrionidae 5,10.0,Herbivore,Coleoptera
Tenebrionidae 6,10.0,Herbivore,Coleoptera
Tenebrionidae 7,5.0,Herbivore,Coleoptera
Tenebrionidae 8,2.5,Herbivore,Coleoptera
Amblyoponinae 1,5.0,Omnivore,Formicidae
Dolichoderinae 01,0.0,Omnivore,Formicidae
Dolichoderinae 02,5.0,Omnivore,Formicidae
Dolichoderinae 03,0.0,Omnivore,Formicidae
Dolichoderinae 04,0.0,Omnivore,Formicidae
Dolichoderinae 05,0.0,Omnivore,Formicidae
Dolichoderinae 06,0.0,Omnivore,Formicidae
Dolichoderinae 07,2.5,Omnivore,Formicidae
Dolichoderinae 08,0.0,Omnivore,Formicidae
Dolichoderinae 09,2.5,Omnivore,Formicidae
Dolichoderinae 10,2.5,Omnivore,Formicidae
Dorylinae 1,5.0,Omnivore,Formicidae
Dorylinae 2,2.5,Omnivore,Formicidae
Ectatomminae 1,2.5,Omnivore,Formicidae
Formicinae 01,2.5,Omnivore,Formicidae
Formicinae 02,0.0,Omnivore,Formicidae
Formicinae 03,5.0,Omnivore,Formicidae
Formicinae 03.1,2.5,Omnivore,Formicidae
Formicinae 03.2,0.0,Omnivore,Formicidae
Formicinae 04,2.5,Omnivore,Formicidae
Formicinae 05,2.5,Omnivore,Formicidae
Formicinae 06,2.5,Omnivore,Formicidae
Formicinae 07,2.5,Omnivore,Formicidae
Formicinae 08,0.0,Omnivore,Formicidae
Formicinae 09,5.0,Omnivore,Formicidae
Formicinae 10,5.0,Omnivore,Formicidae
Formicinae 11,5.0,Omnivore,Formicidae
Formicinae 12,2.5,Omnivore,Formicidae
Formicinae 13,2.5,Omnivore,Formicidae
Formicinae 14,2.5,Omnivore,Formicidae
Formicinae 15,10.0,Omnivore,Formicidae
Formicinae 16,0.0,Omnivore,Formicidae
Formicinae 17,2.5,Omnivore,Formicidae
Heteroponerinae 1,0.0,Omnivore,Formicidae
Heteroponerinae 2,2.5,Omnivore,Formicidae
Heteroponerinae 3,2.5,Omnivore,Formicidae
Heteroponerinae 4,2.5,Omnivore,Formicidae
Heteroponerinae 5,2.5,Omnivore,Formicidae
Myrmeciinae 1,15.0,Omnivore,Formicidae
Myrmicinae 01,0.0,Omnivore,Formicidae
Myrmicinae 02,2.5,Omnivore,Formicidae
Myrmicinae 03,0.0,Omnivore,Formicidae
Myrmicinae 04,0.0,Omnivore,Formicidae
Myrmicinae 05,0.0,Omnivore,Formicidae
Myrmicinae 06,0.0,Omnivore,Formicidae
Myrmicinae 07,0.0,Omnivore,Formicidae
Myrmicinae 08,0.0,Omnivore,Formicidae
Myrmicinae 09,5.0,Omnivore,Formicidae
Myrmicinae 10,0.0,Omnivore,Formicidae
Myrmicinae 11,0.0,Omnivore,Formicidae
Anostostomatinae 1,25.0,Herbivore,Orthoptera
Caelifera larvae 1,2.5,Herbivore,Orthoptera
Catanopinae 1,10.0,Herbivore,Orthoptera
Catanopinae 2,10.0,Herbivore,Orthoptera
Catanopinae 3,15.0,Herbivore,Orthoptera
Enisfera larvae 1,2.5,Herbivore,Orthoptera
Gomphocerinae 1,2.5,Herbivore,Orthoptera
Gomphocerinae 2,15.0,Herbivore,Orthoptera
Gomphocerinae 3,2.5,Herbivore,Orthoptera
Gomphocerinae 4,10.0,Herbivore,Orthoptera
Gryllinae 1,10.0,Herbivore,Orthoptera
Gryllinae 2,5.0,Herbivore,Orthoptera
Gryllinae 3,10.0,Herbivore,Orthoptera
Gryllotalpinae 1,25.0,Herbivore,Orthoptera
Oedipondinae 1,30.0,Herbivore,Orthoptera
Pyrgomorphinae 1,30.0,Herbivore,Orthoptera
Centipede 1,30.0,Predator,Other
Centipede 2 ,30.0,Predator,Other
Centipede 3,30.0,Predator,Other
Centipede 4,5.0,Predator,Other
Dermaptera 1,10.0,Omnivore,Other
Diptera (pupae),2.5,NA,Other
Diptera 1,0.0,Omnivore,Other
Diptera 2,0.0,Omnivore,Other
Diptera 3,0.0,Omnivore,Other
Diptera 4,2.5,Herbivore,Other
Diptera 5,20.0,Omnivore,Other
Diptera 6,2.5,Omnivore,Other
Earthworm,30.0,Detritivore,Other
Isopoda 1,5.0,Detritivore,Other
Isopoda 2,2.5,Detritivore,Other
Isopoda juvenille,0.0,Detritivore,Other
Isoptera 1,2.5,Herbivore,Other
Lepidoptera 1,0.0,Herbivore,Other
Lepidoptera 2,2.5,Herbivore,Other
Lepidoptera 3,5.0,Herbivore,Other
Lepidoptera 4,15.0,Herbivore ,Other
Lepidoptera 5,2.5,Herbivore,Other
Lepidoptera larvae 1,5.0,Herbivore,Other
Lepidoptera larvae 2,10.0,Herbivore,Other
Lepidoptera larvae 3,2.5,Herbivore,Other
Lepidoptera larvae 4,25.0,Herbivore,Other
Lepidoptera larvae 5,5.0,Herbivore,Other
Lepidoptera larvae 6,5.0,Herbivore,Other
Lepidoptera larvae 7,5.0,Herbivore,Other
Mantodea 1,10.0,Predator,Other
Mantodea 2,2.5,Predator,Other
Mantodea 3,0.0,Predator,Other
Mantodea 4,30.0,Predator,Other
Mantodea 5,5.0,Predator,Other
Millipede 1,20.0,Detritivore,Other
Millipede 2,10.0,Detritivore,Other
Neuroptera (larvae),2.5,Predator,Other
Pscoptera 1,0.0,Detritivore,Other
Scorpion 1,30.0,Predator,Other
Scorpion 2,20.0,Predator,Other
Slug 1,5.0,Herbivore,Other
Thysanoptera 1,0.0,Herbivore,Other
