Morphospecies,Size,Trophic.level,Order,Capture_style,Retreat_type,Abundance,2016,2019,CR,JE,JW,K,MUL,propzeros_total,propzeros_2016,propzeros_2019,propzeros_JE,propzeros_JW,propzeros_CR,propzeros_MUL,propzeros_K
Lycosidae03,0,Predator,Araneae,Vagrant,Burrow,18,4,14,1,3,4,8,2,0.9,0.95,0.85,0.9375,0.875,0.96875,0.9375,0.78125
Lycosidae04,5,Predator,Araneae,Vagrant,Burrow,96,82,14,12,4,17,52,11,0.775,0.7125,0.8375,0.875,0.78125,0.71875,0.78125,0.71875
Lycosidae05,2.5,Predator,Araneae,Vagrant,Burrow,11,2,9,3,2,2,2,2,0.93125,0.975,0.8875,0.9375,0.9375,0.90625,0.9375,0.9375
Lycosidae06,15,Predator,Araneae,Vagrant,Burrow,192,155,37,23,32,62,51,24,0.44375,0.2,0.6875,0.53125,0.46875,0.4375,0.6875,0.09375
Lycosidae07,15,Predator,Araneae,Vagrant,Burrow,5,2,3,1,1,2,0,1,0.96875,0.975,0.9625,0.96875,0.9375,0.96875,0.96875,1
Lycosidae08,10,Predator,Araneae,Vagrant,Burrow,1,0,1,0,0,1,0,0,0.99375,1,0.9875,1,0.96875,1,1,1
Lycosidae09,2.5,Predator,Araneae,Vagrant,Burrow,293,293,0,11,244,15,22,1,0.8125,0.625,1,0.65625,0.875,0.84375,0.96875,0.71875
Lycosidae10,2.5,Predator,Araneae,Vagrant,Burrow,9,9,0,0,3,1,5,0,0.96875,0.9375,1,0.9375,0.96875,1,1,0.9375
Lycosidae11,0,Predator,Araneae,Vagrant,Burrow,4,1,3,0,1,2,0,1,0.98125,0.9875,0.975,0.96875,0.96875,1,0.96875,1
Lycosidae12,2.5,Predator,Araneae,Vagrant,Burrow,3,3,0,0,1,0,2,0,0.98125,0.9625,1,0.96875,1,1,1,0.9375
Mysmenidae1,0,Predator,Araneae,Snare,Web,1,0,1,0,0,1,0,0,0.99375,1,0.9875,1,0.96875,1,1,1
Mysmenidae2,0,Predator,Araneae,Snare,Web,2,2,0,0,1,0,1,0,0.9875,0.975,1,0.96875,1,1,1,0.96875
Oonopidae1,0,Predator,Araneae,Vagrant,Sac,10,7,3,4,0,0,0,6,0.9375,0.9125,0.9625,1,1,0.875,0.8125,1
Oxyopidae1,2.5,Predator,Araneae,Vagrant,Sac,2,0,2,1,0,0,0,1,0.9875,1,0.975,1,1,0.96875,0.96875,1
Prodidomidae1,2.5,Predator,Araneae,Active,Web,1,1,0,1,0,0,0,0,0.99375,0.9875,1,1,1,0.96875,1,1
Salticidae1,2.5,Predator,Araneae,Active,Free,16,12,4,9,1,0,2,4,0.925,0.8875,0.9625,0.96875,1,0.84375,0.875,0.9375
Salticidae2,0,Predator,Araneae,Active,Sac,12,2,10,1,1,3,7,0,0.925,0.975,0.875,0.96875,0.90625,0.96875,1,0.78125
Salticidae3,0,Predator,Araneae,Active,Sac,8,2,6,2,2,3,0,1,0.95625,0.975,0.9375,0.9375,0.9375,0.9375,0.96875,1
Salticidae4,0,Predator,Araneae,Active,Sac,1,0,1,0,1,0,0,0,0.99375,1,0.9875,0.96875,1,1,1,1
Salticidae5,2.5,Predator,Araneae,Active,Sac,8,6,2,1,1,1,4,1,0.95,0.925,0.975,0.96875,0.96875,0.96875,0.96875,0.875
Salticidae6,0,Predator,Araneae,Active,Sac,3,1,2,0,0,0,2,1,0.98125,0.9875,0.975,1,1,1,0.96875,0.9375
Stenochilidae1,0,Predator,Araneae,Active,Sac,1,1,0,1,0,0,0,0,0.99375,0.9875,1,1,1,0.96875,1,1
Tetrablemmidae1,0,Predator,Araneae,Vagrant,Free,13,8,5,0,1,0,1,11,0.925,0.9125,0.9375,0.96875,1,1,0.6875,0.96875
Tetrablemmidae2,0,Predator,Araneae,Vagrant,Free,9,4,5,0,0,5,0,4,0.94375,0.95,0.9375,1,0.84375,1,0.875,1
Tetrablemmidae3,0,Predator,Araneae,Vagrant,Free,10,9,1,4,1,2,0,3,0.9375,0.8875,0.9875,0.96875,0.9375,0.875,0.90625,1
Theridiidae1,0,Predator,Araneae,Snare,Web,32,13,19,5,10,5,1,11,0.81875,0.85,0.7875,0.75,0.84375,0.84375,0.6875,0.96875
Theridiidae2,0,Predator,Araneae,Snare,Web,15,0,15,1,8,5,0,1,0.93125,1,0.8625,0.84375,0.875,0.96875,0.96875,1
Theridiidae3,5,Predator,Araneae,Snare,Web,8,3,5,0,3,0,2,3,0.95625,0.9625,0.95,0.9375,1,1,0.90625,0.9375
Theridiidae4,0,Predator,Araneae,Snare,Web,29,19,10,6,10,11,0,2,0.86875,0.825,0.9125,0.8125,0.65625,0.90625,0.96875,1
Theridiidae5,2.5,Predator,Araneae,Snare,Web,2,1,1,0,1,1,0,0,0.9875,0.9875,0.9875,0.96875,0.96875,1,1,1
Theridiidae6,0,Predator,Araneae,Snare,Web,26,18,8,5,4,3,2,12,0.875,0.825,0.925,0.90625,0.90625,0.875,0.75,0.9375
Theridiidae7,2.5,Predator,Araneae,Snare,Web,1,0,1,0,0,1,0,0,0.99375,1,0.9875,1,0.96875,1,1,1
Theridiidae8,2.5,Predator,Araneae,Snare,Web,1,1,0,1,0,0,0,0,0.99375,0.9875,1,1,1,0.96875,1,1
Theridiosomatidae1,2.5,Predator,Araneae,Snare,Web,1,0,1,1,0,0,0,0,0.99375,1,0.9875,1,1,0.96875,1,1
Theridiosomatidae2,0,Predator,Araneae,Snare,Web,4,2,2,2,1,0,0,1,0.975,0.975,0.975,0.96875,1,0.9375,0.96875,1
Theridiosomatidae3,0,Predator,Araneae,Snare,Web,3,3,0,1,0,1,1,0,0.98125,0.9625,1,1,0.96875,0.96875,1,0.96875
Theridiosomatidae4,0,Predator,Araneae,Snare,Web,2,0,2,1,0,1,0,0,0.9875,1,0.975,1,0.96875,0.96875,1,1
Theridiosomatidae5,0,Predator,Araneae,Snare,Web,2,2,0,0,0,0,2,0,0.9875,0.975,1,1,1,1,1,0.9375
Thomisidae1,5,Predator,Araneae,Active,Sac,8,5,3,1,2,2,3,0,0.95625,0.9375,0.975,0.96875,0.9375,0.96875,1,0.90625
Thomisidae2,0,Predator,Araneae,Active,Sac,1,0,1,0,0,0,1,0,0.99375,1,0.9875,1,1,1,1,0.96875
Thomisidae3,0,Predator,Araneae,Active,Sac,2,2,0,0,0,1,1,0,0.9875,0.975,1,1,0.96875,1,1,0.96875
Thomisidae4,2.5,Predator,Araneae,Active,Sac,1,1,0,0,0,0,0,1,0.99375,0.9875,1,1,1,1,0.96875,1
Trochanteriidae1,2.5,Predator,Araneae,Active,Sac,1,0,1,1,0,0,0,0,0.99375,1,0.9875,1,1,0.96875,1,1
Zodariidae01,2.5,Predator,Araneae,Active,Burrow,44,10,34,7,11,11,5,10,0.7875,0.8875,0.6875,0.71875,0.78125,0.84375,0.71875,0.875
Zodariidae02,2.5,Predator,Araneae,Active,Burrow,79,32,47,29,12,14,6,18,0.7375,0.7375,0.7375,0.6875,0.8125,0.625,0.65625,0.90625
Zodariidae03,0,Predator,Araneae,Active,Burrow,8,1,7,0,2,1,2,3,0.95625,0.9875,0.925,0.96875,0.96875,1,0.90625,0.9375
Zodariidae04,5,Predator,Araneae,Active,Burrow,4,1,3,0,1,3,0,0,0.98125,0.9875,0.975,0.96875,0.9375,1,1,1
Zodariidae05,5,Predator,Araneae,Active,Burrow,68,17,51,2,1,2,62,1,0.8125,0.8625,0.7625,0.96875,0.9375,0.9375,0.96875,0.25
Zodariidae06,10,Predator,Araneae,Active,Burrow,2,0,2,0,0,1,1,0,0.9875,1,0.975,1,0.96875,1,1,0.96875
Zodariidae07,2.5,Predator,Araneae,Active,Burrow,78,27,51,37,16,13,6,6,0.775,0.8125,0.7375,0.75,0.78125,0.6875,0.84375,0.8125
Zodariidae08,5,Predator,Araneae,Active,Burrow,2,1,1,0,0,1,0,1,0.9875,0.9875,0.9875,1,0.96875,1,0.96875,1
Zodariidae09,5,Predator,Araneae,Active,Burrow,4,2,2,0,0,2,0,2,0.975,0.975,0.975,1,0.9375,1,0.9375,1
Zodariidae10,2.5,Predator,Araneae,Active,Burrow,2,0,2,0,0,0,2,0,0.9875,1,0.975,1,1,1,1,0.9375
Zodariidae11,2.5,Predator,Araneae,Active,Burrow,3,3,0,0,0,2,1,0,0.98125,0.9625,1,1,0.9375,1,1,0.96875
Zodariidae12,5,Predator,Araneae,Active,Burrow,2,0,2,0,1,1,0,0,0.9875,1,0.975,0.96875,0.96875,1,1,1
Zodariidae13,0,Predator,Araneae,Active,Burrow,6,3,3,2,1,1,1,1,0.9625,0.9625,0.9625,0.96875,0.96875,0.9375,0.96875,0.96875
