Morphospecies,Size,Trophic.level,Order,Flight,Larval_hab,Abundance,2016,2019,CR,JE,JW,K,MUL,propzeros_total,propzeros_2016,propzeros_2019,propzeros_JE,propzeros_JW,propzeros_CR,propzeros_MUL,propzeros_K
Curculionidae06,2.5,Herbivore,Coleoptera,no,above,4,0,4,1,0,0,0,3,0.975,1,0.95,1,1,0.96875,0.90625,1
Curculionidae07,15,Herbivore,Coleoptera,no,above,2,1,1,0,1,0,0,1,0.9875,0.9875,0.9875,0.96875,1,1,0.96875,1
Curculionidae08,5,Herbivore,Coleoptera,no,above,7,6,1,1,1,1,1,3,0.95625,0.925,0.9875,0.96875,0.96875,0.96875,0.90625,0.96875
Curculionidae09,2.5,Herbivore,Coleoptera,no,above,9,7,2,1,7,0,1,0,0.9625,0.95,0.975,0.875,1,0.96875,1,0.96875
Curculionidae10,0,Herbivore,Coleoptera,no,above,28,28,0,0,23,5,0,0,0.9125,0.825,1,0.71875,0.84375,1,1,1
Curculionidae11,2.5,Herbivore,Coleoptera,no,above,4,4,0,0,0,0,0,4,0.9875,0.975,1,1,1,1,0.9375,1
Elateridae1,2.5,Predator,Coleoptera,yes,below,10,8,2,0,1,1,0,8,0.98125,0.9875,0.975,0.96875,0.96875,1,0.96875,1
Elateridae2,5,Herbivore,Coleoptera,yes,below,46,34,12,4,1,4,1,36,0.8625,0.8,0.925,0.96875,0.875,0.875,0.625,0.96875
Endomychidae1,0,Herbivore,Coleoptera,yes,above,17,4,13,2,3,2,2,8,0.91875,0.9625,0.875,0.90625,0.9375,0.9375,0.84375,0.96875
Latridiidae1,0,Detritivore,Coleoptera,no,on,70,70,0,7,5,6,31,21,0.775,0.55,1,0.90625,0.8125,0.8125,0.71875,0.625
Scarabaeoidea1,5,Herbivore,Coleoptera,yes,below,6,5,1,0,1,0,0,5,0.96875,0.95,0.9875,0.96875,1,1,0.875,1
Scarabaeoidea2,5,Herbivore,Coleoptera,yes,below,173,162,11,30,80,17,45,1,0.64375,0.4125,0.875,0.46875,0.75,0.53125,0.96875,0.5
Scarabaeoidea3,5,Herbivore,Coleoptera,yes,below,3,2,1,0,1,1,1,0,0.98125,0.975,0.9875,0.96875,0.96875,1,1,0.96875
Scarabaeoidea4,5,Herbivore,Coleoptera,yes,below,1,1,0,0,1,0,0,0,0.99375,0.9875,1,0.96875,1,1,1,1
Scarabaeoidea5,5,Herbivore,Coleoptera,yes,below,2,2,0,0,1,0,1,0,0.9875,0.975,1,0.96875,1,1,1,0.96875
Scarabaeoidea6,2.5,Herbivore,Coleoptera,yes,below,2,2,0,0,2,0,0,0,0.99375,0.9875,1,0.96875,1,1,1,1
Scarabaeoidea7,5,Herbivore,Coleoptera,yes,below,2,2,0,0,0,1,0,1,0.9875,0.975,1,1,0.96875,1,0.96875,1
Scirtidae1,2.5,Herbivore,Coleoptera,yes,above,1,0,1,0,0,1,0,0,0.99375,1,0.9875,1,0.96875,1,1,1
Staphylinidae1,2.5,Detritivore,Coleoptera,yes,above,7,5,2,0,3,1,0,3,0.95625,0.9375,0.975,0.90625,0.96875,1,0.90625,1
Staphylinidae2,0,Detritivore,Coleoptera,yes,above,47,40,7,25,6,2,9,5,0.8125,0.7125,0.9125,0.875,0.9375,0.59375,0.875,0.78125
Staphylinidae3,0,Detritivore,Coleoptera,yes,above,3,2,1,0,2,1,0,0,0.9875,0.9875,0.9875,0.96875,0.96875,1,1,1
Staphylinidae4,2.5,Detritivore,Coleoptera,yes,above,1,0,1,1,0,0,0,0,0.99375,1,0.9875,1,1,0.96875,1,1
Staphylinidae5,10,Detritivore,Coleoptera,yes,above,3,3,0,0,1,1,0,1,0.98125,0.9625,1,0.96875,0.96875,1,0.96875,1
Staphylinidae6,0,Omnivore,Coleoptera,yes,above,2,2,0,0,2,0,0,0,0.9875,0.975,1,0.9375,1,1,1,1
Staphylinidae7,0,Omnivore,Coleoptera,yes,above,1,1,0,0,1,0,0,0,0.99375,0.9875,1,0.96875,1,1,1,1
Staphylinidae8,2.5,Omnivore,Coleoptera,yes,above,1,1,0,0,1,0,0,0,0.99375,0.9875,1,0.96875,1,1,1,1
Tenebrionidae1,5,Omnivore,Coleoptera,yes,on,1174,961,213,137,314,255,453,15,0.30625,0.225,0.3875,0.15625,0.25,0.40625,0.65625,0.0625
Tenebrionidae2,10,Omnivore,Coleoptera,yes,on,48,41,7,7,19,8,3,11,0.8,0.675,0.925,0.6875,0.84375,0.875,0.6875,0.90625
Tenebrionidae3,0,Omnivore,Coleoptera,yes,on,1,0,1,0,1,0,0,0,0.99375,1,0.9875,0.96875,1,1,1,1
Tenebrionidae4,10,Omnivore,Coleoptera,yes,on,7,1,6,0,0,0,6,1,0.975,0.9875,0.9625,1,1,1,0.96875,0.90625
Tenebrionidae5,10,Omnivore,Coleoptera,yes,on,5,4,1,5,0,0,0,0,0.96875,0.95,0.9875,1,1,0.84375,1,1
Tenebrionidae6,10,Omnivore,Coleoptera,yes,on,9,8,1,0,2,0,4,3,0.95625,0.925,0.9875,0.96875,1,1,0.90625,0.90625
Tenebrionidae7,5,Omnivore,Coleoptera,yes,on,10,9,1,3,1,0,0,6,0.94375,0.9,0.9875,0.96875,1,0.90625,0.84375,1
Tenebrionidae8,2.5,Omnivore,Coleoptera,yes,on,2,2,0,1,0,0,0,1,0.9875,0.975,1,1,1,0.96875,0.96875,1
